framework,article_or_ref,requirement,dataset_fields_used,evidence_artifact,how_to_show_in_dashboard
EU AI Act,Art. 9,"Risk management system (identify, analyse, evaluate, mitigate foreseeable risks and misuse throughout lifecycle)","anomaly_score,is_anomaly,risk_tier,num_unique_apis,sequence_length(count),vsession_duration(min),graph_num_nodes,graph_num_edges,graph_density,source,ip_type",outputs/remaining_scored.csv; outputs/supervised_scored.csv; dashboard: Posture Overview + Driver Analysis + Investigation Workbench,Risk tier donut + top suspicious table + drill-down record + scatter plots for drivers; document risk thresholds (percentiles) used for High/Medium/Low
EU AI Act,Art. 12 / Logging,Logging/record-keeping to enable traceability and audit where applicable,"_id,anomaly_score,is_anomaly,risk_tier,source,ip_type",outputs/*.csv + detector run logs (stdout/stderr) captured in Streamlit expander,Show run timestamp; allow download of scored CSV; keep detector logs in expander for audit trail
EU AI Act,Art. 17,"Quality management system (testing/validation, monitoring, incident handling procedures)","classification (supervised only),anomaly_score,is_anomaly","Supervised validation view: crosstab (label vs predicted), score-by-label plot; documented runbook in README","Validation View tab: confusion table + distribution/box plot; add acceptance criteria (e.g., recall target) in report"
EU AI Act,Art. 72,Post-market monitoring (collect/analyse performance data after deployment),"anomaly_score,is_anomaly,risk_tier,source,ip_type",Operational view over remaining_scored.csv; periodic export snapshots as monitoring records,Trend charts over time if timestamp exists; otherwise show distribution snapshots by source/ip_type and top-N watchlist
NIST CSF v2.0,DETECT (DE) / Continuous Monitoring,Detect anomalous events and continuously monitor systems to identify cybersecurity events,"anomaly_score,is_anomaly,risk_tier","Detector pipeline + dashboard posture overview (score distribution, flagged vs not flagged)","Operational KPIs (anomaly rate, flagged count) + score distribution histogram + watchlist table"
NIST CSF v2.0,RESPOND (RS) / Analysis,Analyse detected events to understand impact and support response decisions,"driver feature columns (behaviour + graph stats),source,ip_type",Driver Analysis section + drill-down of individual sessions,Scatter/bubble plots + correlation heatmap + per-session record view with key drivers listed
NIST CSF v2.0,RESPOND (RS) / Mitigation,Contain and mitigate incidents (support decisioning via risk tiers / prioritization),"risk_tier,anomaly_score",Risk tiering logic + top suspicious sessions list,Use High/Medium/Low tiers to prioritize triage; export High tier to SOC ticketing workflow (manual step)
ISO/IEC 42001:2023 (AIMS),AIMS Operations (Monitoring & Measurement),"Monitor, measure, analyse and evaluate AI system performance and controls within an AI Management System","anomaly_score,is_anomaly,risk_tier,classification (where available)",Scored outputs + validation view + run logs + documented procedures (README),"Add Governance tab: show KPIs, validation results, and an export/download section for evidence packages"
ISO/IEC 42001:2023 (AIMS),AIMS Risk Management,Identify and manage AI-related risks; maintain risk treatments and improvement cycle,"risk_tier thresholds (percentiles),anomaly_score drivers",Risk tier configuration controls (sidebar) + narrative in report,Expose risk tier percentiles as governance controls; capture chosen settings in report/screenshots
OWASP (AI/ML Security Guidance),Runtime Monitoring / Misuse Detection,Detect abuse/misuse patterns and suspicious automated behaviour against APIs/services,behaviour metrics + call-graph stats + anomaly_score,Anomaly detector + driver charts linking behaviour and graph complexity,Driver Analysis: behaviour vs graph complexity bubble plot; source/ip_type breakdown for abuse surface
ATLAS (Adversarial Threat Landscape for AI Systems),Monitoring & Threat-informed Analysis,Track and investigate adversarial or abusive behaviour patterns using observable signals,"anomaly_score,risk_tier,source,ip_type,graph features",Investigation Workbench + session drill-down,"Create incident-style case card for each High tier session: indicators, drivers, recommended action"
